title,id,price,link,brand,availability,image_link,condition,description
"4 x AAA 1.5V paristot",4XAAA,5.0 EUR,https://www.retkitukku.fi/4-x-aaa-1-5v-paristot.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/p/a/panasonic_aaa.jpg,new,"4 x AAA 1.5V paristot sopivat Pointer Control 4x50S yökiikariin, etäisyysmittariin tai Pointer Fishfinder- pilkkitutkaan...."
"Vapaa-ajan kartta alue 5",VKALUE5,99.0 EUR,https://www.retkitukku.fi/vapaa-ajan-kartta-alue-5.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/v/a/vapaa-ajan_1.jpg,new,"Pääosin 1:20 000 vapaa-ajan kartta perustuu Maanmittauslaitoksen peruskartta-aineistoon. Kartta on yhteensopiva kaikkien kartallisten Garmin -laitteiden kanssa. Kartassa näkyvät pellot, lentokentät, rakennukset, korkeuskäyrät 10 m välein, kaatopaikat, täytemaat, sorakuopat, vesialueet, joet, purot, ojat, paikannimet, puistot, avosuot, louhokset jne. Kartta ei sisällä yksityiskohtaisia tietoja vesistöistä.  Kartta-alue toimitetaan CD-levyllä ja se on ladattavissa laitteeseen tietokoneen ..."
"Vapaa-ajan kartta alue 3",VKALUE3,99.0 EUR,https://www.retkitukku.fi/vapaa-ajan-kartta-alue-3.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/v/a/vapaa-ajan.jpg,new,"Pääosin 1:20 000 vapaa-ajan kartta perustuu Maanmittauslaitoksen peruskartta-aineistoon. Kartta on yhteensopiva kaikkien kartallisten Garmin -laitteiden kanssa. Kartassa näkyvät pellot, lentokentät, rakennukset, korkeuskäyrät 10 m välein, kaatopaikat, täytemaat, sorakuopat, vesialueet, joet, purot, ojat, paikannimet, puistot, avosuot, louhokset jne. Kartta ei sisällä yksityiskohtaisia tietoja vesistöistä.  Kartta-alue toimitetaan CD-levyllä ja se on ladattavissa laitteeseen tietokoneen ..."
"GoPro sauvakiinnike",185323000064,24.9 EUR,https://www.retkitukku.fi/gopro-sauvakiinnike.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/a/sauvakiinnike.jpg,new,"Liitä GoPro kamera tankoon, sauvaan tai istuintankoon. Sopii 1.9-3.5cm vahvuisiin putkiin. Voit jatkaa kiinnikettä lisäpalalla ja suuntaaminen onnistuu helposti 3-suuntaan...."
"Garmin Montana kitkakiinnike",010-11654-04,89.9 EUR,https://www.retkitukku.fi/garmin-montana-kitkakiinnike.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/c/f/cf-lg_1__3.jpg,new,"Tämä siirrettävä kojelautateline pitää Montana™-laitteen näkyvillä ajaessasi ja on erinomainen vaihtoehto, kun tuulilasitelineet ovat kiellettyjä. Sarjan sisältämässä telineessä on sisäinen kaiutin ja siirrettävä kitkakiinnitys asentamisen helpottamiseksi. Lisäksi se sisältää ajoneuvon virtajohdon...."
"Garmin Astro pitkäantenni teleskooppi",010-11141-00,64.9 EUR,https://www.retkitukku.fi/garmin-astro-pitkaantenni.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/a/n/antenni.jpg,new,"Lisää kantomatkaa Astrolle uudella pitkäantennilla!..."
"Garmin Montana veneteline",010-11654-06,49.9 EUR,https://www.retkitukku.fi/garmin-montana-veneteline.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/m/o/montana_veneteline.jpg,new,"Kätevä Garmin Montanan veneteline virtajohdolla. Sisältää Garmin Montanan venetelineen ja virtajohdon. Yhteensopivat laitteet Garmin Montana 600, 650 ja 650t...."
"Vapaa-ajan kartta",va_kartta,129.0 EUR,https://www.retkitukku.fi/vapaa-ajan-kartta.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/productno_selection,new,"vapaa-ajan kartta..."
"Alaska Blaze 3D Pro 2.0 Hirvimiehen Metsästyspuku",ALBLZ3DP2,249.0 EUR,https://www.retkitukku.fi/alaska-blaze-3d-pro-2-0-metsastyspuku.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/a/l/alaska_hirvimiehen_puku_2.0.jpg,new,"UUTUUSMALLI ALASKA BLAZE 3D PRO 2.0 SUOSITUSTA HIRVIMIESTEN METSÄSTYSPUVUSTA TÄYTTÄÄ UUDEN METSÄSTYSLAIN ORANSSIN HUOMIOVÄRIN VAATIMUKSET Alaskan Blaze 3D Pro on noussut hirvimiesten suosituimmaksi metsästyspuvuksi ja paransimme sitä nyt entisestään - Blaze 3D Pro 2.0 -metsästyspuvussa on entistäkin paremmat ominaisuudet ja hieman muokattu väritys. Etenkin taskuominaisuuksia on parannettu - rinta- sekä VHF-taskua on suurennettu sekä VHF- taskuun lisätty antennipidike. Vuoripuolelle on l..."
"Härkila Dain -metsästyshousut",HDAINT,129.9 EUR,https://www.retkitukku.fi/harkila-dain-metsastyshousut.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/h/_/h_rkila_dain_housut.jpg,new,"KEVYET HÄRKILAN DAIN -METSÄSTYSHOUSUT Erittäin kevyet, laadukkaat Härkilan -metsästyshousut aktiiviselle ja vaativalle metsästäjälle. Housujen pinnassa Wax Finish -viimeistely, joka tekee kankaasta vettä ja likaa hylkivän. Muotoillut polviosat lisäävät käyttömukavuutta. Tilavat reisitaskut sekä avonaiset etutaskut. Vettä ja likaa hylkivä Wax Finish -viimeistely Muotoillut polvet Vyölenkit Avonaiset etutaskut Tilavat reisitaskut    ..."
